RodaSa	RodaSa	iic.		
afgulyaH	afguli	f. pl. nom.		
Gata	Gata	iic.		
sambanXe	sambanXa	m. sg. loc.		
kevala	kevala	iic.		
kumBakaH	kumBaka	m. sg. nom.		
svakIya	svakIya	iic.		
hqxaye	hqxaya	n. sg. loc.		
suXA	suXA	iic.		
sAgaram	sAgara	m. sg. acc.		
BURaNa	BURaNa	iic.		
vAhanam	vAhana	n. sg. nom.		
SuBra	SuBra	iic.		
varNam	varNa	n. sg. nom.		
mahA	mahaw	iic.		
wejaH	wejas	n. sg. nom.		
bIja	bIja	iic.		
BARiwam	BARiwa	n. sg. nom.	BAR	pp.
vixyA	vixyA	iic.		
prawIwiH	prawIwi	f. sg. nom.		
sva	sva	iic.		
guru	guru	iic.		
prawIwiH	prawIwi	f. sg. nom.		
Awma	Awman	iic.		
prawIwiH	prawIwi	f. sg. nom.		
parvawa	parvawa	iic.		
maswake	maswaka	m. sg. loc.		
sva	sva	iic.		
xehe	xeha	m. sg. loc.		
puwra	puwra	iic.		
xAra	xAra	iic.		
Axi	Axi	iic.		
bAnXaveRu	bAnXava	m. pl. loc.		
Xana	Xana	iic.		
AxiRu	Axi	m. pl. loc.		
waw	wax	iic.		
xuHKa	xuHKa	iic.		
saMyogAH	saMyoga	m. pl. nom.		
aBiGAwa	aBiGAwa	iic.		
nimiwwAH	nimiwwa	m. pl. nom.		
kRuw	kRuX	iic.		
pipAsA	pipAsA	iic.		
jarA	jarA	iic.		
mqwyu	mqwyu	iic.		
nixrA	nixrA	iic.		
prakqwayaH	prakqwi	m. pl. nom.		
manaH	manas	iic.		
SarIra	SarIra	iic.		
aXiRTAnAH	aXiRTAna	m. pl. nom.		
Sabxa	Sabxa	iic.		
AxiH	Axi	m. sg. nom.		
suKa	suKa	iic.		
AvahaH	Avaha	m. sg. nom.		
xravya	xravya	iic.		
AxInAm	Axi	m. pl. g.		
xravya	xravya	iic.		
gaH	ga	m. sg. nom.		
canxana	canxana	iic.		
BAra	BAra	iic.		
vAhI	vAhin	m. sg. nom.		
yakRa	yakRa	iic.		
rAkRasAH	rAkRasa	m. pl. nom.		
puruRa	puruRa	iic.		
SreRTaH	SreRTa	m. sg. nom.		
vexa	vexa	iic.		
AwmakEH	Awmaka	m. pl. i.		
saFcaya	saFcaya	iic.		
prakopa	prakopa	iic.		
hewuH	hewu	m. sg. nom.		
canxana	canxana	iic.		
lawA	lawA	iic.		
pariRvafga	pariRvafga	iic.		
aXivAsiwe	aXivAsiwa	m. sg. loc.		
kAmi	kAmin	iic.		
jana	jana	iic.		
Ananxa	Ananxa	iic.		
jananaH	janana	m. sg. nom.		
anafga	anafga	iic.		
xIpanaH	xIpana	m. sg. nom.		
Svewa	Svewa	iic.		
aBra	aBra	iic.		
vimalam	vimala	n. sg. nom.		
kafka	kafka	iic.		
muKam	muKa	n. sg. nom.		
muKa	muKa	iic.		
gawAH	gawa	m. pl. nom.	gam	pp.
newra	newra	iic.		
varwma	varwman	iic.		
gawAH	gawa	m. pl. nom.	gam	pp.
prayoga	prayoga	iic.		
jFasya	jFa	m. sg. g.		
vyAXi	vyAXi	iic.		
balam	bala	n. sg. acc.		
maXu	maXu	iic.		
sarpirByAm	sarpis	n. du. i.		
svinna	svinna	iic.	svix	pp.
BUyiRTe	BUyiRTa	n. sg. loc.		
ikRu	ikRu	iic.		
rasam	rasa	m. sg. acc.		
SarkarA	SarkarA	iic.		
ambu	ambu	n. sg. acc.		
saxana	saxana	iic.		
kRavaWu	kRavaWu	iic.		
jvarAH	jvara	m. pl. nom.		
pUrva	pUrva	iic.		
ukwAni	ukwa	n. pl. nom.	vac	pp.
bala	bala	iic.		
kRaye	kRaya	m. sg. loc.		
awyanwa	awyanwa	iic.		
garhiwO	garhiwa	m. du. nom.	garh	pp.
sWUla	sWUla	iic.		
kqSO	kqSa	m. du. nom.		
xoRa	xoRa	iic.		
XAwu	XAwu	iic.		
malAnAm	mala	m. pl. g.		
sama	sama	iic.		
xoRaH	xoRa	m. sg. nom.		
sama	sama	iic.		
agniH	agni	m. sg. nom.		
sama	sama	iic.		
XAwu	XAwu	iic.		
mala	mala	iic.		
kriyaH	kriyA	m. sg. nom.		
rakRA	rakRA	iic.		
BURaNa	BURaNa	iic.		
nimiwwam	nimiwwa	n. sg. acc.		
SArIra	SArIra	iic.		
Aganwu	Aganwu	iic.		
mAnasAH	mAnasa	m. pl. nom.		
xivAnixrA	xivAnixrA	iic.		
vaSagaH	vaSaga	m. sg. nom.		
sampaw	sampax	iic.		
Axi	Axi	iic.		
anukUlABiH	anukUla	f. pl. i.		
prIwa	prIwa	iic.	prI	pp.
mAnasaH	mAnasa	m. sg. nom.		
Xanvanwari	Xanvanwari	iic.		
vacaH	vacas	n. sg. nom.		
svasWa	svasWa	iic.		
rakRaNe	rakRaNa	n. sg. loc.		
yukwa	yukwa	iic.	yuj	pp.
raseRu	rasa	n. pl. loc.		
salila	salila	iic.		
AxiRu	Axi	n. pl. loc.		
kaPa	kaPa	iic.		
mexaH	mexas	iic.		
viSoRaNaH	viSoRaNa	m. sg. nom.		
prANa	prANa	iic.		
kRaya	kRaya	iic.		
karaH	kara	m. sg. nom.		
prakqwi	prakqwi	iic.		
sWAnAm	sWa	m. pl. g.		
bala	bala	iic.		
varXanaH	varXana	m. sg. nom.		
kriyA	kriyA	iic.		
kAlaH	kAla	m. sg. nom.		
kriyA	kriyA	iic.		
kAlaH	kAla	m. sg. nom.		
rajaH	rajas	iic.		
BUyiRTaH	BUyiRTa	m. sg. nom.		
sarva	sarva	iic.		
BAvAnAm	BAva	m. pl. g.		
kriyA	kriyA	iic.		
kAlaH	kAla	m. sg. nom.		
sarva	sarva	iic.		
vraNa	vraNa	iic.		
sanniveSaH	sanniveSa	m. sg. nom.		
xoRa	xoRa	iic.		
samBavaH	samBava	m. sg. nom.		
sarva	sarva	iic.		
vyAXi	vyAXi	iic.		
avaroXaH	avaroXa	m. sg. nom.		
vikAra	vikAra	iic.		
parimANam	parimANa	n. sg. nom.		
kRAra	kRAra	iic.		
agni	agni	iic.		
viREH	viRa	m. pl. i.		
mAruwa	mAruwa	iic.		
vAhinaH	vAhin	m. pl. nom.		
mAMsa	mAMsa	iic.		
uxaka	uxaka	iic.		
ABam	ABa	n. sg. nom.		
sarva	sarva	iic.		
inxriya	inxriya	iic.		
arWa	arWa	iic.		
uparamaH	uparama	m. sg. nom.		
jaGanya	jaGanya	iic.		
kArI	kArin	m. sg. nom.		
Xarma	Xarma	iic.		
arWO	arWa	m. du. acc.		
vraNa	vraNa	iic.		
xoRa	xoRa	iic.		
ASaya	ASaya	iic.		
gawAni	gawa	n. pl. acc.	gam	pp.
sarva	sarva	iic.		
SalyAnAm	Salya	m. pl. g.		
AharaNa	AharaNa	iic.		
hewU	hewu	m. du. nom.		
prakqwi	prakqwi	iic.		
ganXAH	ganXa	m. pl. nom.		
anyaw	anya	iic.		
ganXa	ganXa	iic.		
vEkqwam	vEkqwa	n. sg. nom.		
xivya	xivya	iic.		
ganXAH	ganXa	m. pl. nom.		
pafka	pafka	iic.		
ganXAH	ganXa	m. pl. nom.		
BUmi	BUmi	iic.		
ganXAH	ganXa	m. pl. nom.		
pASa	pASa	iic.		
xaNda	xaNda	iic.		
AyuXa	AyuXa	iic.		
XarAH	Xara	m. pl. nom.		
pANdura	pANdura	iic.		
iwara	iwara	iic.		
vAsasaH	vAsas	m. pl. nom.		
vaswra	vaswra	iic.		
anwa	anwa	iic.		
anAmikA	anAmikA	iic.		
keSa	keSa	iic.		
naKa	naKa	iic.		
roma	roman	iic.		
xaSA	xaSA	iic.		
spqSaH	spqS	m. pl. nom.		
viRama	viRama	iic.		
eka	eka	iic.		
paxe	paxa	m. sg. loc.		
kaPa	kaPa	iic.		
rogeRu	roga	m. pl. loc.		
karma	karman	iic.		
sixXi	sixXi	iic.		
karAH	kara	m. pl. nom.		
Sukla	Sukla	iic.		
vAsAH	vAsas	m. sg. nom.		
priya	priya	iic.		
xarSanaH	xarSana	m. sg. nom.		
brahma	brahman	iic.		
xunxuBi	xunxuBi	iic.		
jImUwa	jImUwa	iic.		
SafKa	SafKa	iic.		
veNu	veNu	iic.		
raWa	raWa	iic.		
svanAH	svana	m. pl. nom.		
nakula	nakula	iic.		
cARANAm	cARa	m. pl. g.		
SaSa	SaSa	iic.		
sarpayoH	sarpa	m. du. g.		
kulawWa	kulawWa	iic.		
wila	wila	iic.		
kArpAsa	kArpAsa	iic.		
wuRa	wuRa	iic.		
pARANa	pARANa	iic.		
BasmanAm	Basman	n. pl. g.		
napuMsaka	napuMsaka	iic.		
vyafga	vyafga	iic.		
Bagna	Bagna	iic.	BaFj	pp.
nagna	nagna	iic.		
muNda	muNda	iic.		
asiwa	asiwa	iic.		
ambarAH	ambara	m. pl. nom.		
kArpAsa	kArpAsa	iic.		
wEla	wEla	iic.		
piNyAka	piNyAka	iic.		
lohAni	loha	n. pl. acc.		
sWAvara	sWAvara	iic.		
uwpawwiH	uwpawwi	f. sg. nom.		
SiraH	Siras	iic.		
ruji	ruj	m. sg. loc.		
mahA	mahaw	iic.		
prAsAxa	prAsAxa	iic.		
saPala	saPala	iic.		
vqkRa	vqkRa	iic.		
vAraNa	vAraNa	iic.		
parvawAn	parvawa	m. pl. acc.		
SarIra	SarIra	iic.		
SIlayoH	SIla	n. du. g.		
xviRaw	xviRaw	iic.	xviR	ppr. [2] ac.
SabxeRu	Sabxa	m. pl. loc.		
suhqw	suhqx	iic.		
SabxeRu	Sabxa	m. pl. loc.		
varNa	varNa	iic.		
anyawA	anyawA	f. sg. nom.		
uRNa	uRNa	iic.		
hima	hima	iic.		
AxIni	Axi	n. pl. nom.		
kAla	kAla	iic.		
avasWA	avasWA	f. sg. nom.		
vimAna	vimAna	iic.		
yAna	yAna	iic.		
prAsAxEH	prAsAxa	m. pl. i.		
mqRta	mqRta	iic.	mqj	pp.
ganXAn	ganXa	m. pl. acc.		
yama	yama	iic.		
Alayam	Alaya	m. sg. acc.		
pANdu	pANdu	iic.		
xanwa	xanwa	iic.		
naKaH	naKa	m. sg. nom.		
pANdu	pANdu	iic.		
newraH	newra	m. sg. nom.		
vAk	vAc	iic.		
manaH	manas	iic.		
karmaBiH	karman	n. pl. i.		
karma	karman	iic.		
sAXana	sAXana	iic.		
hewavaH	hewu	m. pl. nom.		
uxgAwq	uxgAwq	iic.		
howq	howq	iic.		
brahmANaH	brahman	m. pl. nom.		
laGu	laGu	iic.		
haswaH	haswa	m. sg. nom.		
sajja	sajja	iic.		
upaskara	upaskara	iic.		
BeRajaH	BeRaja	m. sg. nom.		
sawya	sawya	iic.		
Xarma	Xarma	iic.		
paraH	para	m. sg. nom.		
AyuH	Ayus	iic.		
sOBAgyayoH	sOBAgya	n. du. g.		
kaPa	kaPa	iic.		
samBavAn	samBava	m. pl. acc.		
prANa	prANa	iic.		
apAna	apAna	iic.		
samAnEH	samAna	m. pl. i.		
Una	Una	iic.		
RodaSa	RodaSan	iic.		
varRAH	varRa	m. pl. nom.		
RodaSa	RodaSan	iic.		
sapwawyoH	sapwawi	f. du. g.		
sarva	sarva	iic.		
kriyA	kriyA	iic.		
pravqwwiH	pravqwwi	f. sg. nom.		
BiRak	BiRaj	iic.		
AxInAm	Axi	m. pl. g.		
bala	bala	iic.		
sawwva	sawwva	iic.		
AyuRAm	Ayus	n. pl. g.		
nala	nala	iic.		
mUlam	mUla	n. sg. nom.		
SaNa	SaNa	iic.		
mUlaka	mUlaka	iic.		
SigrUNAm	Sigru	m. pl. g.		
wila	wila	iic.		
sarRapAH	sarRapa	m. pl. nom.		
SoXana	SoXana	iic.		
afgeRu	afga	n. pl. loc.		
kukkuta	kukkuta	iic.		
aNda	aNda	iic.		
kapAlAni	kapAla	n. pl. nom.		
sumanaH	sumanas	iic.		
mukulAni	mukula	n. pl. nom.		
meha	meha	iic.		
pANdu	pANdu	iic.		
Amaya	Amaya	iic.		
haraH	hara	m. sg. nom.		
kaPa	kaPa	iic.		
mexaH	mexas	iic.		
viSoRaNaH	viSoRaNa	m. sg. nom.		
meha	meha	iic.		
arSaH	arSas	iic.		
pANdu	pANdu	iic.		
roga	roga	iic.		
GnaH	Gna	m. sg. nom.		
SarkarA	SarkarA	iic.		
nASanaH	nASana	m. sg. nom.		
wrapu	wrapu	iic.		
AxiH	Axi	m. sg. nom.		
gara	gara	iic.		
krimi	krimi	iic.		
haraH	hara	m. sg. nom.		
kuRTa	kuRTa	iic.		
krimi	krimi	iic.		
haraH	hara	m. sg. nom.		
xuRta	xuRta	iic.	xuR	pp.
vraNa	vraNa	iic.		
viSoXanaH	viSoXana	m. sg. nom.		
SvAsa	SvAsa	iic.		
haraH	hara	m. sg. nom.		
kaPa	kaPa	iic.		
piwwa	piwwa	iic.		
anila	anila	iic.		
apahaH	apaha	m. sg. nom.		
sva	sva	iic.		
rasAH	rasa	m. pl. nom.		
xravya	xravya	iic.		
lakRaNam	lakRaNa	n. sg. nom.		
kriyA	kriyA	iic.		
guNavaw	guNavaw	n. sg. nom.		
samavAyi	samavAyin	iic.		
kAraNam	kAraNa	n. sg. nom.		
rOkRya	rOkRya	iic.		
lAGava	lAGava	iic.		
SEwyAni	SEwya	n. pl. nom.		
piwwa	piwwa	iic.		
SamanAH	Samana	m. pl. nom.		
SleRma	SleRman	iic.		
SamanAH	Samana	m. pl. nom.		
sneha	sneha	iic.		
gOrava	gOrava	iic.		
SEwyAni	SEwya	n. pl. nom.		
waw	wax	iic.		
karma	karman	iic.		
kAriNaH	kArin	m. pl. nom.		
maXura	maXura	iic.		
AKyaH	AKyA	m. sg. nom.		
katuka	katuka	iic.		
AKyaH	AKyA	m. sg. nom.		
ambu	ambu	iic.		
pqWivI	pqWivI	iic.		
guNAH	guNa	m. pl. nom.		
wejaH	wejas	iic.		
anila	anila	iic.		
AkASa	AkASa	iic.		
guNAH	guNa	m. pl. nom.		
waw	wax	iic.		
ASrayAH	ASraya	m. pl. nom.		
sWAna	sWAna	iic.		
vqxXi	vqxXi	iic.		
kRayAH	kRaya	m. pl. nom.		
xravya	xravya	iic.		
hewukAH	hewuka	m. pl. nom.		
sva	sva	iic.		
yoni	yoni	iic.		
varXanAH	varXana	m. pl. nom.		
anya	anya	iic.		
yoni	yoni	iic.		
praSamanAH	praSamana	m. pl. nom.		
nixarSana	nixarSana	iic.		
mAwram	mAwra	n. sg. nom.		
vamana	vamana	iic.		
xravyANAm	xravya	n. pl. g.		
Pala	Pala	iic.		
AxInAm	Axi	n. pl. g.		
maxana	maxana	iic.		
PalAni	Pala	n. pl. nom.		
brahma	brahman	iic.		
xakRa	xakRa	iic.		
aSvi	aSvin	iic.		
ruxra	ruxra	iic.		
inxra	inxra	iic.		
BU	BU	iic.		
canxra	canxra	iic.		
arka	arka	iic.		
anala	anala	iic.		
anilAH	anila	m. pl. nom.		
maxana	maxana	iic.		
Pala	Pala	iic.		
viXAnam	viXAna	n. sg. nom.		
kutaja	kutaja	iic.		
Pala	Pala	iic.		
viXAnam	viXAna	n. sg. nom.		
ikRvAku	ikRvAku	iic.		
kusuma	kusuma	iic.		
cUrNam	cUrNa	n. sg. nom.		
kAsa	kAsa	iic.		
SvAsa	SvAsa	iic.		
Carxi	Carxi	iic.		
kaPa	kaPa	iic.		
rogeRu	roga	m. pl. loc.		
suXA	suXA	iic.		
payaH	payas	n. sg. nom.		
prAXAnya	prAXAnya	iic.		
safgrahaH	safgraha	m. sg. nom.		
wvak	wvac	iic.		
pawra	pawwra	iic.		
marica	marica	iic.		
aMSakam	aMSaka	n. sg. nom.		
sarva	sarva	iic.		
SleRma	SleRman	iic.		
vikArANAm	vikAra	m. pl. g.		
wrivqw	wrivqw	iic.		
AxInAm	Axi	m. pl. g.		
meha	meha	iic.		
gulma	gulma	iic.		
anila	anila	iic.		
SleRma	SleRman	iic.		
vibanXAn	vibanXa	m. pl. acc.		
wrivqw	wrivqw	iic.		
viXAnena	viXAna	n. sg. i.		
sarva	sarva	iic.		
vyAXi	vyAXi	iic.		
nibarhaNam	nibarhaNa	n. sg. nom.		
sarpiH	sarpis	iic.		
maXuByAm	maXu	n. du. i.		
AkASa	AkASa	iic.		
guNa	guNa	iic.		
bahulam	bahula	n. sg. nom.		
puRpa	puRpa	iic.		
avawaMsam	avawaMsa	n. sg. acc.		
SvAsa	SvAsa	iic.		
kAsa	kAsa	iic.		
prawiSyAya	prawiSyAya	iic.		
SUla	SUla	iic.		
gulma	gulma	iic.		
uxarANi	uxara	n. pl. acc.		
rakRaH	rakRas	iic.		
Gnam	Gna	n. sg. nom.		
jvara	jvara	iic.		
xAha	xAha	iic.		
viRa	viRa	iic.		
apaham	apaha	n. sg. nom.		
kaPa	kaPa	iic.		
Gnam	Gna	n. sg. nom.		
prasravaNa	prasravaNa	iic.		
uxBavam	uxBava	n. sg. nom.		
cawuH	cawur	iic.		
BAga	BAga	iic.		
avaSeRam	avaSeRa	n. sg. nom.		
newra	newra	iic.		
Amaye	Amaya	m. sg. loc.		
aneka	aneka	iic.		
oRaXi	oRaXi	iic.		
rasa	rasa	iic.		
prasAxam	prasAxa	n. sg. nom.		
prANa	prANa	iic.		
xam	xa	n. sg. nom.		
sarva	sarva	iic.		
prANaBqwAm	prANaBqw	m. pl. g.		
kaPa	kaPa	iic.		
mUwra	mUwra	iic.		
apaham	apaha	n. sg. nom.		
xeha	xeha	iic.		
agnyoH	agni	m. du. g.		
laGu	laGu	iic.		
pAkam	pAka	n. sg. nom.		
viRa	viRa	iic.		
apaham	apaha	n. sg. nom.		
mUrcCA	mUrCA	iic.		
kuRTa	kuRTa	iic.		
viRa	viRa	iic.		
unmAxa	unmAxa	iic.		
graha	graha	iic.		
apasmAra	apasmAra	iic.		
nASanam	nASana	n. sg. nom.		
kaPa	kaPa	iic.		
mexaH	mexas	iic.		
anila	anila	iic.		
haram	hara	n. sg. nom.		
kuRTa	kuRTa	iic.		
Amaya	Amaya	iic.		
kqmi	kqmi	iic.		
haram	hara	n. sg. nom.		
xqRti	xqRti	iic.		
Sukra	Sukra	iic.		
bala	bala	iic.		
apaham	apaha	n. sg. nom.		
wEla	wEla	iic.		
guNAH	guNa	m. pl. nom.		
anila	anila	iic.		
nASanAH	nASana	m. pl. nom.		
Sviwra	Sviwra	iic.		
meha	meha	iic.		
kqmi	kqmi	iic.		
Gnam	Gna	n. sg. acc.		
guNa	guNa	iic.		
uwwaram	uwwara	n. sg. acc.		
piwwa	piwwa	iic.		
kqw	kqw	n. sg. nom.		
katu	katu	iic.		
pAki	pAkin	n. sg. nom.		
Carxi	Carxi	iic.		
meha	meha	iic.		
praSamanam	praSamana	n. sg. nom.		
xala	xala	iic.		
uxBavam	uxBava	n. sg. nom.		
waw	wax	iic.		
sOkumAryAw	sOkumArya	n. sg. abl.		
rasa	rasa	iic.		
samBavAw	samBava	m. sg. abl.		
sqRta	sqRta	iic.	sqj	pp.
vit	viR	iic.		
mUwram	mUwra	n. sg. nom.		
kaRAya	kaRAya	iic.		
maXuram	maXura	n. sg. nom.		
inxriya	inxriya	iic.		
boXanam	boXana	n. sg. nom.		
sqRta	sqRta	iic.	sqj	pp.
vit	viR	iic.		
mUwraH	mUwra	m. sg. nom.		
alpa	alpa	iic.		
maxaH	maxa	m. sg. nom.		
pAcana	pAcana	iic.		
xIpanaH	xIpana	m. sg. nom.		
kqmi	kqmi	iic.		
mexaH	mexas	iic.		
anila	anila	iic.		
haraH	hara	m. sg. nom.		
bahu	bahu	iic.		
xoRa	xoRa	iic.		
haraH	hara	m. sg. nom.		
swoka	swoka	iic.		
samBAram	samBAra	n. sg. nom.		
SOca	SOca	iic.		
xAkRiNya	xAkRiNya	iic.		
harRa	harRa	iic.		
maNdana	maNdana	iic.		
lAlasaH	lAlasa	m. sg. nom.		
pavana	pavana	iic.		
kaPa	kaPa	iic.		
wqRNA	wqRNA	iic.		
haram	hara	n. sg. nom.		
kaPa	kaPa	iic.		
haram	hara	n. sg. nom.		
kqmi	kqmi	iic.		
xaxruRu	xaxru	m. pl. loc.		
SoPa	SoPa	iic.		
kuRTa	kuRTa	iic.		
uxara	uxara	iic.		
unmAxa	unmAxa	iic.		
mAruwa	mAruwa	iic.		
krimi	krimi	iic.		
nASanam	nASana	n. sg. nom.		
alpa	alpa	iic.		
anwara	anwara	iic.		
guNAH	guNa	m. pl. nom.		
alpa	alpa	iic.		
anwara	anwara	iic.		
guNAH	guNa	m. pl. nom.		
laGu	laGu	iic.		
pAkinaH	pAkin	m. pl. nom.		
sWala	sWala	iic.		
jAH	ja	m. pl. nom.		
kaPa	kaPa	iic.		
piwwa	piwwa	iic.		
GnAH	Gna	m. pl. nom.		
katuka	katuka	iic.		
anvayAH	anvaya	m. pl. nom.		
Cinna	Cinna	iic.	Cix	pp.
rUDAH	rUDa	m. pl. nom.	ruh	pp.
baxXa	baxXa	iic.	banX	pp.
varcasaH	varcas	m. pl. nom.		
baxXa	baxXa	iic.	banX	pp.
mUwra	mUwra	iic.		
purIRAH	purIRa	m. pl. nom.		
piwwa	piwwa	iic.		
SleRma	SleRman	iic.		
harAH	hara	m. pl. nom.		
muxga	muxga	iic.		
samAH	sama	m. pl. nom.		
kaPa	kaPa	iic.		
piwwa	piwwa	iic.		
hArI	hArin	m. sg. nom.		
prabanXa	prabanXa	iic.		
vit	viR	iic.		
mAruwa	mAruwa	iic.		
piwwalaH	piwwala	m. sg. nom.		
bala	bala	iic.		
praxAH	praxa	m. pl. nom.		
piwwa	piwwa	iic.		
nibarhaNAH	nibarhaNa	m. pl. nom.		
SAli	SAli	iic.		
AxeH	Axi	m. sg. g.		
sarRapa	sarRapa	iic.		
anwasya	anwa	m. sg. g.		
xoRa	xoRa	iic.		
GnaH	Gna	m. sg. nom.		
anala	anala	iic.		
xIpanaH	xIpana	m. sg. nom.		
baxXa	baxXa	iic.	banX	pp.
