bAla	iic.		
ramBA	f. sg. acc.		
ramBA	iic.		
xaNda	m. sg. acc.		
kuSa	iic.		
Asana	n. sg. loc.		
mqga	iic.		
ajina	n. sg. loc.		
vyAGra	iic.		
ajina	n. sg. loc.		
mala	iic.		
Akula	f. pl. loc.		
mAwrA	iic.		
Axi	iic.		
Sawa	iic.		
paryanwa	n. sg. nom.		
pUra	iic.		
kumBaka	iic.		
recana	n. sg. nom.		
meru	iic.		
kampa	m. sg. nom.		
naKa	iic.		
keSa	m. du. abl.		
uxAna	iic.		
vyAna	m. du. nom.		
nABi	iic.		
xeSa	m. sg. loc.		
kaNTa	iic.		
maXya	iic.		
ga	m. sg. nom.		
aByAsa	iic.		
yoga	m. sg. i.		
samAXi	iic.		
sixXi	f. sg. acc.		
RodaSa	iic.		
afguli	f. pl. nom.		
Gata	iic.		
sambanXa	m. sg. loc.		
kevala	iic.		
kumBaka	m. sg. nom.		
svakIya	iic.		
hqxaya	n. sg. loc.		
suXA	iic.		
sAgara	m. sg. acc.		
BURaNa	iic.		
vAhana	n. sg. nom.		
SuBra	iic.		
varNa	n. sg. nom.		
mahaw	iic.		
wejas	n. sg. nom.		
bIja	iic.		
BARiwa	n. sg. nom.	BAR	pp.
vixyA	iic.		
prawIwi	f. sg. nom.		
sva	iic.		
guru	iic.		
prawIwi	f. sg. nom.		
Awman	iic.		
prawIwi	f. sg. nom.		
parvawa	iic.		
maswaka	m. sg. loc.		
sva	iic.		
xeha	m. sg. loc.		
puwra	iic.		
xAra	iic.		
Axi	iic.		
bAnXava	m. pl. loc.		
Xana	iic.		
Axi	m. pl. loc.		
wax	iic.		
xuHKa	iic.		
saMyoga	m. pl. nom.		
aBiGAwa	iic.		
nimiwwa	m. pl. nom.		
kRuX	iic.		
pipAsA	iic.		
jarA	iic.		
mqwyu	iic.		
nixrA	iic.		
prakqwi	m. pl. nom.		
manas	iic.		
SarIra	iic.		
aXiRTAna	m. pl. nom.		
Sabxa	iic.		
Axi	m. sg. nom.		
suKa	iic.		
Avaha	m. sg. nom.		
xravya	iic.		
Axi	m. pl. g.		
xravya	iic.		
ga	m. sg. nom.		
canxana	iic.		
BAra	iic.		
vAhin	m. sg. nom.		
yakRa	iic.		
rAkRasa	m. pl. nom.		
puruRa	iic.		
SreRTa	m. sg. nom.		
vexa	iic.		
Awmaka	m. pl. i.		
saFcaya	iic.		
prakopa	iic.		
hewu	m. sg. nom.		
canxana	iic.		
lawA	iic.		
pariRvafga	iic.		
aXivAsiwa	m. sg. loc.		
kAmin	iic.		
jana	iic.		
Ananxa	iic.		
janana	m. sg. nom.		
anafga	iic.		
xIpana	m. sg. nom.		
Svewa	iic.		
aBra	iic.		
vimala	n. sg. nom.		
kafka	iic.		
muKa	n. sg. nom.		
muKa	iic.		
gawa	m. pl. nom.	gam	pp.
newra	iic.		
varwman	iic.		
gawa	m. pl. nom.	gam	pp.
prayoga	iic.		
jFa	m. sg. g.		
vyAXi	iic.		
bala	n. sg. acc.		
maXu	iic.		
sarpis	n. du. i.		
svinna	iic.	svix	pp.
BUyiRTa	n. sg. loc.		
ikRu	iic.		
rasa	m. sg. acc.		
SarkarA	iic.		
ambu	n. sg. acc.		
saxana	iic.		
kRavaWu	iic.		
jvara	m. pl. nom.		
pUrva	iic.		
ukwa	n. pl. nom.	vac	pp.
bala	iic.		
kRaya	m. sg. loc.		
awyanwa	iic.		
garhiwa	m. du. nom.	garh	pp.
sWUla	iic.		
kqSa	m. du. nom.		
xoRa	iic.		
XAwu	iic.		
mala	m. pl. g.		
sama	iic.		
xoRa	m. sg. nom.		
sama	iic.		
agni	m. sg. nom.		
sama	iic.		
XAwu	iic.		
mala	iic.		
kriyA	m. sg. nom.		
rakRA	iic.		
BURaNa	iic.		
nimiwwa	n. sg. acc.		
SArIra	iic.		
Aganwu	iic.		
mAnasa	m. pl. nom.		
xivAnixrA	iic.		
vaSaga	m. sg. nom.		
sampax	iic.		
Axi	iic.		
anukUla	f. pl. i.		
prIwa	iic.	prI	pp.
mAnasa	m. sg. nom.		
Xanvanwari	iic.		
vacas	n. sg. nom.		
svasWa	iic.		
rakRaNa	n. sg. loc.		
yukwa	iic.	yuj	pp.
rasa	n. pl. loc.		
salila	iic.		
Axi	n. pl. loc.		
kaPa	iic.		
mexas	iic.		
viSoRaNa	m. sg. nom.		
prANa	iic.		
kRaya	iic.		
kara	m. sg. nom.		
prakqwi	iic.		
sWa	m. pl. g.		
bala	iic.		
varXana	m. sg. nom.		
kriyA	iic.		
kAla	m. sg. nom.		
kriyA	iic.		
kAla	m. sg. nom.		
rajas	iic.		
BUyiRTa	m. sg. nom.		
sarva	iic.		
BAva	m. pl. g.		
kriyA	iic.		
kAla	m. sg. nom.		
sarva	iic.		
vraNa	iic.		
sanniveSa	m. sg. nom.		
xoRa	iic.		
samBava	m. sg. nom.		
sarva	iic.		
vyAXi	iic.		
avaroXa	m. sg. nom.		
vikAra	iic.		
parimANa	n. sg. nom.		
kRAra	iic.		
agni	iic.		
viRa	m. pl. i.		
mAruwa	iic.		
vAhin	m. pl. nom.		
mAMsa	iic.		
uxaka	iic.		
ABa	n. sg. nom.		
sarva	iic.		
inxriya	iic.		
arWa	iic.		
uparama	m. sg. nom.		
jaGanya	iic.		
kArin	m. sg. nom.		
Xarma	iic.		
arWa	m. du. acc.		
vraNa	iic.		
xoRa	iic.		
ASaya	iic.		
gawa	n. pl. acc.	gam	pp.
sarva	iic.		
Salya	m. pl. g.		
AharaNa	iic.		
hewu	m. du. nom.		
prakqwi	iic.		
ganXa	m. pl. nom.		
anya	iic.		
ganXa	iic.		
vEkqwa	n. sg. nom.		
xivya	iic.		
ganXa	m. pl. nom.		
pafka	iic.		
ganXa	m. pl. nom.		
BUmi	iic.		
ganXa	m. pl. nom.		
pASa	iic.		
xaNda	iic.		
AyuXa	iic.		
Xara	m. pl. nom.		
pANdura	iic.		
iwara	iic.		
vAsas	m. pl. nom.		
vaswra	iic.		
anwa	iic.		
anAmikA	iic.		
keSa	iic.		
naKa	iic.		
roman	iic.		
xaSA	iic.		
spqS	m. pl. nom.		
viRama	iic.		
eka	iic.		
paxa	m. sg. loc.		
kaPa	iic.		
roga	m. pl. loc.		
karman	iic.		
sixXi	iic.		
kara	m. pl. nom.		
Sukla	iic.		
vAsas	m. sg. nom.		
priya	iic.		
xarSana	m. sg. nom.		
brahman	iic.		
xunxuBi	iic.		
jImUwa	iic.		
SafKa	iic.		
veNu	iic.		
raWa	iic.		
svana	m. pl. nom.		
nakula	iic.		
cARa	m. pl. g.		
SaSa	iic.		
sarpa	m. du. g.		
kulawWa	iic.		
wila	iic.		
kArpAsa	iic.		
wuRa	iic.		
pARANa	iic.		
Basman	n. pl. g.		
napuMsaka	iic.		
vyafga	iic.		
Bagna	iic.	BaFj	pp.
nagna	iic.		
muNda	iic.		
asiwa	iic.		
ambara	m. pl. nom.		
kArpAsa	iic.		
wEla	iic.		
piNyAka	iic.		
loha	n. pl. acc.		
sWAvara	iic.		
uwpawwi	f. sg. nom.		
Siras	iic.		
ruj	m. sg. loc.		
mahaw	iic.		
prAsAxa	iic.		
saPala	iic.		
vqkRa	iic.		
vAraNa	iic.		
parvawa	m. pl. acc.		
SarIra	iic.		
SIla	n. du. g.		
xviRaw	iic.	xviR	ppr. [2] ac.
Sabxa	m. pl. loc.		
suhqx	iic.		
Sabxa	m. pl. loc.		
varNa	iic.		
anyawA	f. sg. nom.		
uRNa	iic.		
hima	iic.		
Axi	n. pl. nom.		
kAla	iic.		
avasWA	f. sg. nom.		
vimAna	iic.		
yAna	iic.		
prAsAxa	m. pl. i.		
mqRta	iic.	mqj	pp.
ganXa	m. pl. acc.		
yama	iic.		
Alaya	m. sg. acc.		
pANdu	iic.		
xanwa	iic.		
naKa	m. sg. nom.		
pANdu	iic.		
newra	m. sg. nom.		
vAc	iic.		
manas	iic.		
karman	n. pl. i.		
karman	iic.		
sAXana	iic.		
hewu	m. pl. nom.		
uxgAwq	iic.		
howq	iic.		
brahman	m. pl. nom.		
laGu	iic.		
haswa	m. sg. nom.		
sajja	iic.		
upaskara	iic.		
BeRaja	m. sg. nom.		
sawya	iic.		
Xarma	iic.		
para	m. sg. nom.		
Ayus	iic.		
sOBAgya	n. du. g.		
kaPa	iic.		
samBava	m. pl. acc.		
prANa	iic.		
apAna	iic.		
samAna	m. pl. i.		
Una	iic.		
RodaSan	iic.		
varRa	m. pl. nom.		
RodaSan	iic.		
sapwawi	f. du. g.		
sarva	iic.		
kriyA	iic.		
pravqwwi	f. sg. nom.		
BiRaj	iic.		
Axi	m. pl. g.		
bala	iic.		
sawwva	iic.		
Ayus	n. pl. g.		
nala	iic.		
mUla	n. sg. nom.		
SaNa	iic.		
mUlaka	iic.		
Sigru	m. pl. g.		
wila	iic.		
sarRapa	m. pl. nom.		
SoXana	iic.		
afga	n. pl. loc.		
kukkuta	iic.		
aNda	iic.		
kapAla	n. pl. nom.		
sumanas	iic.		
mukula	n. pl. nom.		
meha	iic.		
pANdu	iic.		
Amaya	iic.		
hara	m. sg. nom.		
kaPa	iic.		
mexas	iic.		
viSoRaNa	m. sg. nom.		
meha	iic.		
arSas	iic.		
pANdu	iic.		
roga	iic.		
Gna	m. sg. nom.		
SarkarA	iic.		
nASana	m. sg. nom.		
wrapu	iic.		
Axi	m. sg. nom.		
gara	iic.		
krimi	iic.		
hara	m. sg. nom.		
kuRTa	iic.		
krimi	iic.		
hara	m. sg. nom.		
xuRta	iic.	xuR	pp.
vraNa	iic.		
viSoXana	m. sg. nom.		
SvAsa	iic.		
hara	m. sg. nom.		
kaPa	iic.		
piwwa	iic.		
anila	iic.		
apaha	m. sg. nom.		
sva	iic.		
rasa	m. pl. nom.		
xravya	iic.		
lakRaNa	n. sg. nom.		
kriyA	iic.		
guNavaw	n. sg. nom.		
samavAyin	iic.		
kAraNa	n. sg. nom.		
rOkRya	iic.		
lAGava	iic.		
SEwya	n. pl. nom.		
piwwa	iic.		
Samana	m. pl. nom.		
SleRman	iic.		
Samana	m. pl. nom.		
sneha	iic.		
gOrava	iic.		
SEwya	n. pl. nom.		
wax	iic.		
karman	iic.		
kArin	m. pl. nom.		
maXura	iic.		
AKyA	m. sg. nom.		
katuka	iic.		
AKyA	m. sg. nom.		
ambu	iic.		
pqWivI	iic.		
guNa	m. pl. nom.		
wejas	iic.		
anila	iic.		
AkASa	iic.		
guNa	m. pl. nom.		
wax	iic.		
ASraya	m. pl. nom.		
sWAna	iic.		
vqxXi	iic.		
kRaya	m. pl. nom.		
xravya	iic.		
hewuka	m. pl. nom.		
sva	iic.		
yoni	iic.		
varXana	m. pl. nom.		
anya	iic.		
yoni	iic.		
praSamana	m. pl. nom.		
nixarSana	iic.		
mAwra	n. sg. nom.		
vamana	iic.		
xravya	n. pl. g.		
Pala	iic.		
Axi	n. pl. g.		
maxana	iic.		
Pala	n. pl. nom.		
brahman	iic.		
xakRa	iic.		
aSvin	iic.		
ruxra	iic.		
inxra	iic.		
BU	iic.		
canxra	iic.		
arka	iic.		
anala	iic.		
anila	m. pl. nom.		
maxana	iic.		
Pala	iic.		
viXAna	n. sg. nom.		
kutaja	iic.		
Pala	iic.		
viXAna	n. sg. nom.		
ikRvAku	iic.		
kusuma	iic.		
cUrNa	n. sg. nom.		
kAsa	iic.		
SvAsa	iic.		
Carxi	iic.		
kaPa	iic.		
roga	m. pl. loc.		
suXA	iic.		
payas	n. sg. nom.		
prAXAnya	iic.		
safgraha	m. sg. nom.		
wvac	iic.		
pawwra	iic.		
marica	iic.		
aMSaka	n. sg. nom.		
sarva	iic.		
SleRman	iic.		
vikAra	m. pl. g.		
wrivqw	iic.		
Axi	m. pl. g.		
meha	iic.		
gulma	iic.		
anila	iic.		
SleRman	iic.		
vibanXa	m. pl. acc.		
wrivqw	iic.		
viXAna	n. sg. i.		
sarva	iic.		
vyAXi	iic.		
nibarhaNa	n. sg. nom.		
sarpis	iic.		
maXu	n. du. i.		
AkASa	iic.		
guNa	iic.		
bahula	n. sg. nom.		
puRpa	iic.		
avawaMsa	n. sg. acc.		
SvAsa	iic.		
kAsa	iic.		
prawiSyAya	iic.		
SUla	iic.		
gulma	iic.		
uxara	n. pl. acc.		
rakRas	iic.		
Gna	n. sg. nom.		
jvara	iic.		
xAha	iic.		
viRa	iic.		
apaha	n. sg. nom.		
kaPa	iic.		
Gna	n. sg. nom.		
prasravaNa	iic.		
uxBava	n. sg. nom.		
cawur	iic.		
BAga	iic.		
avaSeRa	n. sg. nom.		
newra	iic.		
Amaya	m. sg. loc.		
aneka	iic.		
oRaXi	iic.		
rasa	iic.		
prasAxa	n. sg. nom.		
prANa	iic.		
xa	n. sg. nom.		
sarva	iic.		
prANaBqw	m. pl. g.		
kaPa	iic.		
mUwra	iic.		
apaha	n. sg. nom.		
xeha	iic.		
agni	m. du. g.		
laGu	iic.		
pAka	n. sg. nom.		
viRa	iic.		
apaha	n. sg. nom.		
mUrCA	iic.		
kuRTa	iic.		
viRa	iic.		
unmAxa	iic.		
graha	iic.		
apasmAra	iic.		
nASana	n. sg. nom.		
kaPa	iic.		
mexas	iic.		
anila	iic.		
hara	n. sg. nom.		
kuRTa	iic.		
Amaya	iic.		
kqmi	iic.		
hara	n. sg. nom.		
xqRti	iic.		
Sukra	iic.		
bala	iic.		
apaha	n. sg. nom.		
wEla	iic.		
guNa	m. pl. nom.		
anila	iic.		
nASana	m. pl. nom.		
Sviwra	iic.		
meha	iic.		
kqmi	iic.		
Gna	n. sg. acc.		
guNa	iic.		
uwwara	n. sg. acc.		
piwwa	iic.		
kqw	n. sg. nom.		
katu	iic.		
pAkin	n. sg. nom.		
Carxi	iic.		
meha	iic.		
praSamana	n. sg. nom.		
xala	iic.		
uxBava	n. sg. nom.		
wax	iic.		
sOkumArya	n. sg. abl.		
rasa	iic.		
samBava	m. sg. abl.		
sqRta	iic.	sqj	pp.
viR	iic.		
mUwra	n. sg. nom.		
kaRAya	iic.		
maXura	n. sg. nom.		
inxriya	iic.		
boXana	n. sg. nom.		
sqRta	iic.	sqj	pp.
viR	iic.		
mUwra	m. sg. nom.		
alpa	iic.		
maxa	m. sg. nom.		
pAcana	iic.		
xIpana	m. sg. nom.		
kqmi	iic.		
mexas	iic.		
anila	iic.		
hara	m. sg. nom.		
bahu	iic.		
xoRa	iic.		
hara	m. sg. nom.		
swoka	iic.		
samBAra	n. sg. nom.		
SOca	iic.		
xAkRiNya	iic.		
harRa	iic.		
maNdana	iic.		
lAlasa	m. sg. nom.		
pavana	iic.		
kaPa	iic.		
wqRNA	iic.		
hara	n. sg. nom.		
kaPa	iic.		
hara	n. sg. nom.		
kqmi	iic.		
xaxru	m. pl. loc.		
SoPa	iic.		
kuRTa	iic.		
uxara	iic.		
unmAxa	iic.		
mAruwa	iic.		
krimi	iic.		
nASana	n. sg. nom.		
alpa	iic.		
anwara	iic.		
guNa	m. pl. nom.		
alpa	iic.		
anwara	iic.		
guNa	m. pl. nom.		
laGu	iic.		
pAkin	m. pl. nom.		
sWala	iic.		
ja	m. pl. nom.		
kaPa	iic.		
piwwa	iic.		
Gna	m. pl. nom.		
katuka	iic.		
anvaya	m. pl. nom.		
Cinna	iic.	Cix	pp.
rUDa	m. pl. nom.	ruh	pp.
baxXa	iic.	banX	pp.
varcas	m. pl. nom.		
baxXa	iic.	banX	pp.
mUwra	iic.		
purIRa	m. pl. nom.		
piwwa	iic.		
SleRman	iic.		
hara	m. pl. nom.		
muxga	iic.		
sama	m. pl. nom.		
kaPa	iic.		
piwwa	iic.		
hArin	m. sg. nom.		
prabanXa	iic.		
viR	iic.		
mAruwa	iic.		
piwwala	m. sg. nom.		
bala	iic.		
praxa	m. pl. nom.		
piwwa	iic.		
nibarhaNa	m. pl. nom.		
SAli	iic.		
Axi	m. sg. g.		
sarRapa	iic.		
anwa	m. sg. g.		
xoRa	iic.		
Gna	m. sg. nom.		
anala	iic.		
xIpana	m. sg. nom.		
baxXa	iic.	banX	pp.
viR	iic.		
mUwra	m. sg. nom.		
kaRAya	iic.		
maXura	m. sg. nom.		
svara	iic.		
meXA	iic.		
agni	iic.		
xqS	iic.		
Srowra	iic.		
inxriya	iic.		
xArDya	iic.		
kqw	m. sg. nom.		
kaRAya	iic.		
maXura	m. pl. nom.		
Pala	iic.		
AhAra	m. pl. nom.		
maruw	iic.		
kara	m. pl. nom.		
siMha	iic.		
Axi	m. pl. i.		
vAyasa	iic.		
Axi	m. pl. nom.		
sqRta	iic.	sqj	pp.
mUwra	iic.		
purIRa	m. pl. nom.		
kAsa	iic.		
arSas	iic.		
SvAsa	iic.		
nASana	m. pl. nom.		
kaRAya	iic.		
maXura	m. sg. nom.		
piwwa	iic.		
kaPa	iic.		
apaha	m. sg. nom.		
kaRAya	iic.		
katuka	f. sg. nom.		
rasa	iic.		
pAka	m. du. i.		
bala	iic.		
varXana	m. pl. nom.		
piwwa	iic.		
SleRman	iic.		
Avaha	n. sg. nom.		
svAxu	iic.		
amla	iic.		
lavaNa	m. sg. nom.		
SleRman	iic.		
anila	iic.		
apaha	m. sg. nom.		
sqRta	iic.	sqj	pp.
mUwra	iic.		
purIRa	m. pl. nom.		
rasa	iic.		
pAka	m. du. g.		
SafKa	iic.		
kUrma	iic.		
Axi	m. pl. nom.		
svAxu	iic.		
rasa	iic.		
pAka	m. pl. nom.		
maruw	iic.		
nux	m. pl. nom.		
sanXAna	iic.		
kqw	m. sg. nom.		
sqRta	iic.	sqj	pp.
viR	iic.		
mUwra	m. sg. nom.		
anila	iic.		
piwwa	iic.		
han	m. sg. nom.		
mAruwa	iic.		
apaha	m. pl. nom.		
pramANa	iic.		
aXika	m. pl. nom.		
sva	iic.		
jAwi	f. sg. loc.		
alpa	iic.		
sAra	m. pl. nom.		
anila	iic.		
Gna	n. pl. nom.		
kaPa	iic.		
uwkleSa	iic.		
kara	n. pl. nom.		
karkanXu	iic.		
kola	iic.		
baxara	n. sg. nom.		
piwwa	iic.		
kaPa	iic.		
Avaha	n. sg. nom.		
gulma	iic.		
arSas	iic.		
Gna	n. sg. nom.		
piwwa	iic.		
anila	iic.		
kara	n. sg. nom.		
baxXa	iic.	banX	pp.
kesara	n. sg. nom.		
gara	iic.		
xoRa	iic.		
hara	n. sg. nom.		
wqRNA	iic.		
SUla	iic.		
kaPa	iic.		
uwkleSa	iic.		
Carxi	iic.		
SvAsa	iic.		
nivAraNa	n. sg. nom.		
wqR	iic.		
xAha	iic.		
jvara	iic.		
piwwa	iic.		
asqj	iic.		
kAsa	iic.		
SvAsa	iic.		
kRaya	iic.		
apaha	n. sg. nom.		
SamI	iic.		
Pala	n. sg. nom.		
rUkRa	iic.		
uRNa	n. sg. nom.		
keSa	iic.		
nASana	n. sg. nom.		
kaPa	iic.		
piwwa	iic.		
hara	n. sg. nom.		
vakwra	iic.		
klexa	iic.		
mala	iic.		
apaha	n. sg. nom.		
kaRAya	iic.		
maXura	m. sg. nom.		
piwwa	iic.		
nASana	m. sg. nom.		
wqRNA	iic.		
Carxi	iic.		
anila	iic.		
Gna	m. sg. nom.		
piwwa	iic.		
Gna	n. pl. nom.		
manxa	iic.		
kaPa	n. pl. nom.		
sqRta	iic.	sqj	pp.
mUwra	iic.		
purIRa	n. pl. nom.		
svAxu	iic.		
pAka	iic.		
rasa	n. pl. nom.		
sarva	iic.		
xoRa	iic.		
hara	n. sg. nom.		
cewas	iic.		
vikArin	m. pl. g.		
SleRman	iic.		
anila	iic.		
hara	n. sg. nom.		
ganXa	iic.		
ADya	n. sg. nom.		
jIraka	iic.		
xvaya	n. sg. nom.		
xurnAman	iic.		
kuRTa	iic.		
anala	iic.		
sAxa	iic.		
janwu	iic.		
samIraNa	iic.		
SvAsa	iic.		
kaPa	m. pl. acc.		
kaPa	iic.		
Gna	n. pl. nom.		
kqmi	iic.		
han	m. sg. nom.		
meXA	iic.		
agni	iic.		
bala	iic.		
varXana	m. sg. nom.		
alpa	iic.		
anwara	iic.		
guNa	n. du. acc.		
kuvalaya	iic.		
uwpala	n. du. acc.		
SleRman	iic.		
piwwa	iic.		
viRa	iic.		
Gna	n. sg. nom.		
meXA	iic.		
agni	iic.		
bala	iic.		
varXin	f. sg. nom.		
kaPa	iic.		
mAruwa	iic.		
kopana	m. pl. nom.		
kumuxa	iic.		
uwpala	iic.		
paxma	m. pl. g.		
mAruwa	iic.		
kopana	m. pl. nom.		
piwwa	iic.		
Samana	m. pl. nom.		
wAla	iic.		
nArikela	iic.		
KarjUra	iic.		
praBqwi	m. pl. g.		
maswaka	iic.		
majjan	m. pl. nom.		
gulma	iic.		
SUla	iic.		
vibanXa	iic.		
Gna	n. sg. nom.		
yava	iic.		
goXUma	m. pl. nom.		
bala	iic.		
meXA	iic.		
agni	iic.		
mAMsa	iic.		
ojas	iic.		
Sukra	iic.		
varXana	n. sg. nom.		
piwwa	iic.		
Gna	m. du. nom.		
kqmi	iic.		
kuRTa	iic.		
jvara	iic.		
apaha	m. du. nom.		
mUlaka	iic.		
yURa	m. sg. nom.		
kaPa	iic.		
mexas	iic.		
gala	iic.		
Amaya	m. pl. acc.		
yava	iic.		
kola	iic.		
kulawWa	m. pl. g.		
anila	iic.		
apaha	m. sg. nom.		
sarva	iic.		
XAnya	iic.		
kqwa	m. sg. nom.	kq	pp.
prANa	iic.		
varXana	m. sg. nom.		
bala	iic.		
kara	m. sg. nom.		
pipAsA	iic.		
Srama	iic.		
nASana	m. sg. nom.		
wqR	iic.		
Carxi	iic.		
xAha	iic.		
Garma	iic.		
Arwi	iic.		
nux	m. pl. nom.		
wax	iic.		
sakwu	m. pl. nom.		
sanXAna	iic.		
kqw	m. sg. nom.		
meha	iic.		
hara	m. sg. nom.		
uRNa	iic.		
uxaka	iic.		
anupAna	n. sg. nom.		
yURa	iic.		
amla	iic.		
kAFjika	n. sg. acc.		
mArxava	iic.		
kara	n. sg. nom.		
Srama	iic.		
klama	iic.		
hara	n. sg. nom.		
xoRa	iic.		
Samana	n. sg. nom.		
pipAsA	iic.		
Cexana	n. sg. nom.		
kAca	iic.		
sPatika	iic.		
pAwra	n. pl. loc.		
xAdima	iic.		
Axi	n. pl. acc.		
Alasya	iic.		
gOrava	iic.		
Atopa	iic.		
sAxa	m. pl. acc.		
pUga	iic.		
kafkola	iic.		
karpUra	iic.		
lavafga	iic.		
sumanas	iic.		
Pala	n. pl. i.		
katu	iic.		
kaRAya	n. pl. i.		
muKa	iic.		
vESaxya	iic.		
kAraka	n. pl. i.		
Sabxa	iic.		
rUpa	iic.		
rasa	m. pl. acc.		
anna	iic.		
vaha	n. sg. loc.		
praxveRa	iic.		
yukwa	m. sg. i.	yuj	pp.
naKa	iic.		
roman	n. sg. nom.		
xoRa	iic.		
XAwu	iic.		
agni	iic.		
samawA	f. sg. acc.		
nAman	iic.		
sWAna	iic.		
kriyA	iic.		
Amaya	m. pl. i.		
nAman	iic.		
sWAna	iic.		
kriyA	iic.		
Amaya	m. pl. i.		
prANa	iic.		
uxAna	m. du. nom.		
sarva	iic.		
xeha	iic.		
ga	m. pl. acc.		
Sakqw	iic.		
mUwra	n. sg. acc.		
Sukra	iic.		
garBa	iic.		
Arwava	n. pl. acc.		
Srowra	iic.		
Axi	m. pl. loc.		
inxriya	iic.		
vaXa	m. sg. acc.		
sanXi	iic.		
gawa	m. sg. nom.	gam	pp.
SUla	iic.		
SoPa	m. du. acc.		
AhAra	iic.		
vihArin	m. pl. g.		
haswin	iic.		
aSva	iic.		
uRtra	m. pl. i.		
prANa	iic.		
mAMsa	iic.		
kRaya	iic.		
Axi	m. pl. i.		
hanu	iic.		
SafKa	iic.		
Siras	iic.		
grIvA	n. sg. acc.		
xoRa	iic.		
xvaya	n. sg. g.		
kAla	iic.		
anwara	n. sg. i.		
aSmarI	iic.		
samBava	m. sg. nom.		
kuRTa	iic.		
xoRa	m. sg. abl.		
xuRta	iic.	xuR	pp.
SoNiwa	iic.		
Sukra	n. du. g.		
wax	iic.		
vaha	n. pl. nom.		
salila	iic.		
BAva	m. sg. acc.		
kAla	iic.		
prakarRa	m. sg. i.		
nAdI	iic.		
nibanXana	n. sg. abl.		
sWira	iic.		
SarIra	m. sg. g.		
paFcama	iic.		
RaRTa	m. du. loc.		
sarva	iic.		
amara	iic.		
guru	m. sg. nom.		
nimiwwa	iic.		
anwara	iic.		
BUmipa	m. sg. nom.		
mAruwa	iic.		
